aahed	2965.6344665095926
aalii	3836.01130932346
aapas	2792.587007741501
aargh	3803.2546617300573
aarti	2874.8467182766744
abaca	5874.346146078761
adieu	2372.7874116459107
crane	2479.9605520026926
trace	2565.743520700101
audio	2644.155705149781
media	2660.221003029283
arose	1899.9000336587007
roast	2082.157118815214
slate	1884.7540222147425
stare	2003.2775496465836
crate	2446.287579939414
least	2148.2195893638504
raise	1610.469875462807
slant	2449.1396836082126
soare	1417.6610568832043
tales	1268.6033658700774
aisle	1926.105957590037
canoe	1890.0630764052507
cones	1474.2944463143722
irate	2243.038572871087
react	2573.9017165937394
salet	1483.1917199596096
sauce	1795.4980141366543
slice	2406.923998653652
